2026-06-11 23:33:11,439 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:33:12,365 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=15)
2026-06-11 23:33:13,447 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:14,593 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@ana.gamer)
2026-06-11 23:33:15,459 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:33:17,298 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@joao_zoeira)
2026-06-11 23:33:17,468 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:33:18,997 | INFO    | src.cooldown | Descartado por cooldown global: !barco (user=@joao_zoeira)
2026-06-11 23:33:19,477 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:33:20,851 | INFO    | src.command_queue | Enfileirado: !barril por @joao_zoeira (fila=16)
2026-06-11 23:33:21,486 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:23,497 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:25,508 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:27,517 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:33:29,524 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:33:31,535 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:33,543 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:33:34,947 | INFO    | src.command_queue | Enfileirado: !formiga por @pedrocaos (fila=17)
2026-06-11 23:33:35,550 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:33:37,562 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:37,685 | INFO    | src.cooldown | Descartado por cooldown global: !formiga (user=@joao_zoeira)
2026-06-11 23:33:39,574 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:33:41,289 | INFO    | src.command_queue | Enfileirado: !drop por @pedrocaos (fila=18)
2026-06-11 23:33:41,583 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:43,590 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:33:45,597 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:47,606 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:33:49,615 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:33:51,628 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:53,635 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:33:55,644 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:57,653 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:59,029 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=19)
2026-06-11 23:33:59,030 | INFO    | src.tiktok_listener | Simulacao rodando (tick 120)
2026-06-11 23:33:59,663 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:01,671 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:34:01,964 | INFO    | src.command_queue | Enfileirado: !cura por @joao_zoeira (fila=20)
2026-06-11 23:34:03,680 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:34:05,689 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:07,698 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:34:07,837 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barril (user=@lua_fps)
2026-06-11 23:34:09,710 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:34:11,718 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:34:13,727 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:15,057 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=21)
2026-06-11 23:34:15,737 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:34:17,746 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:34:19,755 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:21,764 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:34:22,181 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@lua_fps)
2026-06-11 23:34:23,772 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:23,958 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=22)
2026-06-11 23:34:25,781 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:34:27,790 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:34:28,748 | INFO    | src.command_queue | Enfileirado: !drop por @joao_zoeira (fila=23)
2026-06-11 23:34:29,799 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:31,807 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:34:33,815 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:34,742 | INFO    | src.command_queue | Enfileirado: !barco por @lua_fps (fila=24)
2026-06-11 23:34:35,824 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:37,834 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:39,844 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:34:41,856 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:34:42,998 | INFO    | src.command_queue | Enfileirado: !cura por @pedrocaos (fila=25)
